4431	4500	-1	trnL1	tRNA	1.39999995557e-19	global	1
10856	10921	1	trnY	tRNA	3.59999987542e-16	global	1
12350	12422	1	trnQ	tRNA	3.89999988709e-16	global	1
16120	16189	-1	trnF	tRNA	3.70000000283e-15	global	1
12420	12488	-1	trnI	tRNA	1.70000003793e-14	global	1
12279	12348	-1	trnM	tRNA	2.09999999703e-14	global	1
2030	2098	1	trnE	tRNA	3.30000004373e-14	global	1
11019	11093	1	trnN	tRNA	9.100000213e-14	global	1
10921	10986	1	trnC	tRNA	1.30000001107e-13	global	1
11169	11236	-1	trnW	tRNA	1.70000000405e-13	global	1
6713	6781	-1	trnG	tRNA	2.29999992576e-13	global	1
8408	8474	-1	trnK	tRNA	3.50000004022e-13	global	1
754	818	1	trnP	tRNA	5.4999998696e-13	global	1
13446	13520	-1	trnL2	tRNA	6.10000006236e-13	global	1
15091	15158	-1	trnV	tRNA	1.30000003817e-12	global	1
11095	11162	1	trnA	tRNA	2.80000003218e-12	global	1
9163	9230	-1	trnD	tRNA	3.60000007235e-12	global	1
818	885	-1	trnT	tRNA	4.69999993785e-12	global	1
6297	6365	-1	trnR	tRNA	4.79999980735e-12	global	1
4560	4628	-1	trnH	tRNA	1.49999995064e-11	global	1
9238	9306	1	trnS2	tRNA	2.29999994744e-11	global	1
4501	4559	-1	trnS1	tRNA	6.7000002768e-11	global	1
4431	4500	-1	trnL1	tRNA	1.39999995557e-19	global	1
10856	10921	1	trnY	tRNA	3.59999987542e-16	global	1
12350	12422	1	trnQ	tRNA	3.89999988709e-16	global	1
16120	16189	-1	trnF	tRNA	3.70000000283e-15	global	1
12420	12488	-1	trnI	tRNA	1.70000003793e-14	global	1
12279	12348	-1	trnM	tRNA	2.09999999703e-14	global	1
2030	2098	1	trnE	tRNA	3.30000004373e-14	global	1
11019	11093	1	trnN	tRNA	9.100000213e-14	global	1
10921	10986	1	trnC	tRNA	1.30000001107e-13	global	1
11169	11236	-1	trnW	tRNA	1.70000000405e-13	global	1
6713	6781	-1	trnG	tRNA	2.29999992576e-13	global	1
8408	8474	-1	trnK	tRNA	3.50000004022e-13	global	1
754	818	1	trnP	tRNA	5.4999998696e-13	global	1
13446	13520	-1	trnL2	tRNA	6.10000006236e-13	global	1
15091	15158	-1	trnV	tRNA	1.30000003817e-12	global	1
11095	11162	1	trnA	tRNA	2.80000003218e-12	global	1
9163	9230	-1	trnD	tRNA	3.60000007235e-12	global	1
818	885	-1	trnT	tRNA	4.69999993785e-12	global	1
6297	6365	-1	trnR	tRNA	4.79999980735e-12	global	1
4560	4628	-1	trnH	tRNA	1.49999995064e-11	global	1
9238	9306	1	trnS2	tRNA	2.29999994744e-11	global	1
4501	4559	-1	trnS1	tRNA	6.7000002768e-11	global	1
13521	15090	-1	rrnL	rRNA	0.0	global	1
15158	16119	-1	rrnS	rRNA	0.0	global	1
13521	15090	-1	rrnL	rRNA	0.0	global	1
15158	16119	-1	rrnS	rRNA	0.0	global	1
10986	11016	-1	OL	rep_origin	8.70000016473e-10	global	1
10986	11016	-1	OL	rep_origin	8.70000016473e-10	global	1
10986	11016	1	OL	rep_origin	3.69999997929e-06	global	2
10986	11016	1	OL	rep_origin	3.69999997929e-06	global	2
